iter	Passed	Remaining
0	1	132
1	2	126
2	3	125
3	4	119
4	6	116
5	7	111
6	8	107
7	9	104
8	10	101
9	10	98
10	11	96
11	12	94
12	13	92
13	14	90
14	15	88
15	16	86
16	17	85
17	18	83
18	19	82
19	20	80
20	20	78
21	21	77
22	22	76
23	23	75
24	24	74
25	25	73
26	26	72
27	27	71
28	28	70
29	29	68
30	30	67
31	31	66
32	32	65
33	33	64
34	34	63
35	35	62
36	36	61
37	37	60
38	38	59
39	39	58
40	40	57
41	40	55
42	41	54
43	42	54
44	43	53
45	44	52
46	45	51
47	46	50
48	47	49
49	48	48
50	49	47
51	50	46
52	51	45
53	52	44
54	53	43
55	53	42
56	55	41
57	56	40
58	57	39
59	58	38
60	59	37
61	60	36
62	60	35
63	61	34
64	62	33
65	63	32
66	64	31
67	65	30
68	66	29
69	67	28
70	68	27
71	69	26
72	70	25
73	71	24
74	72	24
75	73	23
76	73	22
77	74	21
78	75	20
79	76	19
80	77	18
81	78	17
82	79	16
83	80	15
84	81	14
85	82	13
86	82	12
87	83	11
88	84	10
89	86	9
90	86	8
91	87	7
92	88	6
93	89	5
94	90	4
95	91	3
96	92	2
97	92	1
98	93	0
99	94	0
